district,name,mcd,pop
1,"Finstad, Brad",Adams City,683
1,"Finstad, Brad",Adams Township,443
1,"Finstad, Brad",Adrian City,1141
1,"Finstad, Brad",Adrian Township,130
1,"Finstad, Brad",Alba Township,166
1,"Finstad, Brad",Albert Lea City,18485
1,"Finstad, Brad",Albert Lea Township,609
1,"Finstad, Brad",Albin Township,311
1,"Finstad, Brad",Alden City,583
1,"Finstad, Brad",Alden Township,283
1,"Finstad, Brad",Alpha City,97
1,"Finstad, Brad",Alton Township,412
1,"Finstad, Brad",Altura City,471
1,"Finstad, Brad",Amboy City,515
1,"Finstad, Brad",Amherst Township,409
1,"Finstad, Brad",Antrim Township,266
1,"Finstad, Brad",Arendahl Township,303
1,"Finstad, Brad",Ashland Township,308
1,"Finstad, Brad",Aurora Township,528
1,"Finstad, Brad",Austin City,26169
1,"Finstad, Brad",Austin Township,888
1,"Finstad, Brad",Bancroft Township,792
1,"Finstad, Brad",Barber Township,248
1,"Finstad, Brad",Bath Township,401
1,"Finstad, Brad",Battle Plain Township,200
1,"Finstad, Brad",Beauford Township,376
1,"Finstad, Brad",Beaver Creek City,280
1,"Finstad, Brad",Beaver Creek Township,384
1,"Finstad, Brad",Beaver Township,209
1,"Finstad, Brad",Belgrade Township,1141
1,"Finstad, Brad",Bellechester City,138
1,"Finstad, Brad",Bellechester City,38
1,"Finstad, Brad",Belle Creek Township,514
1,"Finstad, Brad",Belmont Township,217
1,"Finstad, Brad",Belvidere Township,478
1,"Finstad, Brad",Bennington Township,149
1,"Finstad, Brad",Berlin Township,506
1,"Finstad, Brad",Bernadotte Township,261
1,"Finstad, Brad",Bigelow City,227
1,"Finstad, Brad",Bigelow Township,370
1,"Finstad, Brad",Black Hammer Township,272
1,"Finstad, Brad",Bloomfield Township,381
1,"Finstad, Brad",Blooming Grove Township,568
1,"Finstad, Brad",Blooming Prairie City,1974
1,"Finstad, Brad",Blooming Prairie Township,397
1,"Finstad, Brad",Bloom Township,140
1,"Finstad, Brad",Blue Earth City,3174
1,"Finstad, Brad",Blue Earth City Township,386
1,"Finstad, Brad",Brewster City,506
1,"Finstad, Brad",Bricelyn City,348
1,"Finstad, Brad",Brighton Township,129
1,"Finstad, Brad",Bristol Township,421
1,"Finstad, Brad",Brownsdale City,638
1,"Finstad, Brad",Brownsville City,566
1,"Finstad, Brad",Brownsville Township,413
1,"Finstad, Brad",Brush Creek Township,188
1,"Finstad, Brad",Butterfield City,603
1,"Finstad, Brad",Butterfield Township,198
1,"Finstad, Brad",Butternut Valley Township,298
1,"Finstad, Brad",Byron City,0
1,"Finstad, Brad",Byron City,6293
1,"Finstad, Brad",Byron Township,216
1,"Finstad, Brad",Caledonia City,2847
1,"Finstad, Brad",Caledonia Township,637
1,"Finstad, Brad",Cambria Township,255
1,"Finstad, Brad",Canisteo Township,649
1,"Finstad, Brad",Cannon City Township,1226
1,"Finstad, Brad",Cannon Falls City,4220
1,"Finstad, Brad",Cannon Falls Township,1028
1,"Finstad, Brad",Canton City,310
1,"Finstad, Brad",Canton Township,653
1,"Finstad, Brad",Carimona Township,285
1,"Finstad, Brad",Carlston Township,302
1,"Finstad, Brad",Carrolton Township,379
1,"Finstad, Brad",Cascade Township,2837
1,"Finstad, Brad",Cedar Township,196
1,"Finstad, Brad",Center Creek Township,217
1,"Finstad, Brad",Ceresco Township,181
1,"Finstad, Brad",Ceylon City,303
1,"Finstad, Brad",Chatfield City,1814
1,"Finstad, Brad",Chatfield City,1163
1,"Finstad, Brad",Chatfield Township,543
1,"Finstad, Brad",Cherry Grove Township,382
1,"Finstad, Brad",Chester Township,415
1,"Finstad, Brad",Christiania Township,266
1,"Finstad, Brad",Claremont City,513
1,"Finstad, Brad",Claremont Township,423
1,"Finstad, Brad",Clarks Grove City,694
1,"Finstad, Brad",Clark Township,256
1,"Finstad, Brad",Clayton Township,169
1,"Finstad, Brad",Clinton Falls Township,386
1,"Finstad, Brad",Clinton Township,236
1,"Finstad, Brad",Concord Township,561
1,"Finstad, Brad",Conger City,153
1,"Finstad, Brad",Cottonwood Township,856
1,"Finstad, Brad",Courtland City,734
1,"Finstad, Brad",Courtland Township,572
1,"Finstad, Brad",Crooked Creek Township,252
1,"Finstad, Brad",Dakota City,295
1,"Finstad, Brad",Danville Township,226
1,"Finstad, Brad",Darfur City,84
1,"Finstad, Brad",Decoria Township,1146
1,"Finstad, Brad",Deerfield Township,542
1,"Finstad, Brad",Delafield Township,223
1,"Finstad, Brad",Delavan City,172
1,"Finstad, Brad",Delavan Township,240
1,"Finstad, Brad",Dennison City,209
1,"Finstad, Brad",Dennison City,14
1,"Finstad, Brad",Denver Township,164
1,"Finstad, Brad",Des Moines Township,236
1,"Finstad, Brad",Dewald Township,228
1,"Finstad, Brad",Dexter City,324
1,"Finstad, Brad",Dexter Township,252
1,"Finstad, Brad",Dodge Center City,2815
1,"Finstad, Brad",Dover City,782
1,"Finstad, Brad",Dover Township,385
1,"Finstad, Brad",Dresbach Township,410
1,"Finstad, Brad",Dunbar Township,255
1,"Finstad, Brad",Dundee City,73
1,"Finstad, Brad",Dunnell City,133
1,"Finstad, Brad",Eagle Lake City,3284
1,"Finstad, Brad",East Chain Township,276
1,"Finstad, Brad",Easton City,177
1,"Finstad, Brad",Eden Township,214
1,"Finstad, Brad",Eitzen City,279
1,"Finstad, Brad",Elba City,129
1,"Finstad, Brad",Elba Township,328
1,"Finstad, Brad",Elgin City,1037
1,"Finstad, Brad",Elgin Township,754
1,"Finstad, Brad",Elkton City,130
1,"Finstad, Brad",Elk Township,216
1,"Finstad, Brad",Ellendale City,676
1,"Finstad, Brad",Ellington Township,211
1,"Finstad, Brad",Ellsworth City,466
1,"Finstad, Brad",Elm Creek Township,160
1,"Finstad, Brad",Elmira Township,347
1,"Finstad, Brad",Elmore City,549
1,"Finstad, Brad",Elmore Township,166
1,"Finstad, Brad",Elysian City,4
1,"Finstad, Brad",Emerald Township,210
1,"Finstad, Brad",Emmons City,367
1,"Finstad, Brad",Enterprise Township,181
1,"Finstad, Brad",Evan City,70
1,"Finstad, Brad",Ewington Township,213
1,"Finstad, Brad",Eyota City,2006
1,"Finstad, Brad",Eyota Township,488
1,"Finstad, Brad",Fairmont City,10487
1,"Finstad, Brad",Fairmont Township,308
1,"Finstad, Brad",Faribault City,24453
1,"Finstad, Brad",Farmington Township,399
1,"Finstad, Brad",Featherstone Township,745
1,"Finstad, Brad",Fieldon Township,207
1,"Finstad, Brad",Fillmore Township,479
1,"Finstad, Brad",Florence Township,1555
1,"Finstad, Brad",Forestville Township,365
1,"Finstad, Brad",Foster Township,249
1,"Finstad, Brad",Fountain City,409
1,"Finstad, Brad",Fountain Township,301
1,"Finstad, Brad",Fox Lake Township,275
1,"Finstad, Brad",Frankford Township,385
1,"Finstad, Brad",Fraser Township,271
1,"Finstad, Brad",Freeborn City,240
1,"Finstad, Brad",Freeborn Township,257
1,"Finstad, Brad",Freedom Township,336
1,"Finstad, Brad",Freeman Township,441
1,"Finstad, Brad",Fremont Township,314
1,"Finstad, Brad",Frost City,216
1,"Finstad, Brad",Galena Township,211
1,"Finstad, Brad",Garden City Township,844
1,"Finstad, Brad",Geneva City,508
1,"Finstad, Brad",Geneva Township,437
1,"Finstad, Brad",Gillford Township,507
1,"Finstad, Brad",Glasgow Township,266
1,"Finstad, Brad",Glenville City,568
1,"Finstad, Brad",Goodhue City,1250
1,"Finstad, Brad",Goodhue Township,542
1,"Finstad, Brad",Good Thunder City,550
1,"Finstad, Brad",Goodview City,4155
1,"Finstad, Brad",Graham Lakes Township,176
1,"Finstad, Brad",Granada City,291
1,"Finstad, Brad",Granby Township,220
1,"Finstad, Brad",Grand Meadow City,1127
1,"Finstad, Brad",Grand Meadow Township,337
1,"Finstad, Brad",Grand Prairie Township,237
1,"Finstad, Brad",Greenfield Township,1308
1,"Finstad, Brad",Hammond City,130
1,"Finstad, Brad",Hanska City,382
1,"Finstad, Brad",Hardwick City,189
1,"Finstad, Brad",Harmony City,1043
1,"Finstad, Brad",Harmony Township,391
1,"Finstad, Brad",Hartland City,321
1,"Finstad, Brad",Hartland Township,253
1,"Finstad, Brad",Hart Township,300
1,"Finstad, Brad",Havana Township,556
1,"Finstad, Brad",Haverhill Township,1498
1,"Finstad, Brad",Hay Creek Township,947
1,"Finstad, Brad",Hayfield City,1364
1,"Finstad, Brad",Hayfield Township,483
1,"Finstad, Brad",Hayward City,252
1,"Finstad, Brad",Hayward Township,339
1,"Finstad, Brad",Heron Lake City,602
1,"Finstad, Brad",Heron Lake Township,305
1,"Finstad, Brad",Hersey Township,191
1,"Finstad, Brad",High Forest Township,1052
1,"Finstad, Brad",Highland Township,446
1,"Finstad, Brad",Hills City,686
1,"Finstad, Brad",Hillsdale Township,771
1,"Finstad, Brad",Hokah City,553
1,"Finstad, Brad",Hokah Township,441
1,"Finstad, Brad",Holden Township,383
1,"Finstad, Brad",Hollandale City,308
1,"Finstad, Brad",Holt Township,239
1,"Finstad, Brad",Homer Township,1298
1,"Finstad, Brad",Home Township,495
1,"Finstad, Brad",Houston City,997
1,"Finstad, Brad",Houston Township,394
1,"Finstad, Brad",Hunter Township,211
1,"Finstad, Brad",Hyde Park Township,259
1,"Finstad, Brad",Indian Lake Township,211
1,"Finstad, Brad",Iosco Township,509
1,"Finstad, Brad",Jackson City,3323
1,"Finstad, Brad",Jamestown Township,679
1,"Finstad, Brad",Janesville City,2354
1,"Finstad, Brad",Janesville Township,643
1,"Finstad, Brad",Jasper City,60
1,"Finstad, Brad",Jay Township,230
1,"Finstad, Brad",Jefferson Township,130
1,"Finstad, Brad",Jo Daviess Township,221
1,"Finstad, Brad",Jordan Township,381
1,"Finstad, Brad",Judson Township,534
1,"Finstad, Brad",Kalmar Township,1136
1,"Finstad, Brad",Nicollet Township,483
1,"Finstad, Brad",Kanaranzi Township,249
1,"Finstad, Brad",Kasson City,6804
1,"Finstad, Brad",Kellogg City,415
1,"Finstad, Brad",Kenneth City,60
1,"Finstad, Brad",Kenyon City,1894
1,"Finstad, Brad",Kenyon Township,388
1,"Finstad, Brad",Kiester City,488
1,"Finstad, Brad",Kiester Township,211
1,"Finstad, Brad",Kimball Township,100
1,"Finstad, Brad",Kinbrae City,10
1,"Finstad, Brad",La Crescent City,5231
1,"Finstad, Brad",La Crescent City,51
1,"Finstad, Brad",La Crescent Township,1112
1,"Finstad, Brad",La Crosse Township,147
1,"Finstad, Brad",Lafayette City,492
1,"Finstad, Brad",Lafayette Township,700
1,"Finstad, Brad",Lake Belt Township,190
1,"Finstad, Brad",Lake City,4360
1,"Finstad, Brad",Lake City City,892
1,"Finstad, Brad",Lake Crystal City,2539
1,"Finstad, Brad",Lakefield City,1735
1,"Finstad, Brad",Lake Fremont Township,155
1,"Finstad, Brad",Lake Hanska Township,336
1,"Finstad, Brad",Lake Prairie Township,630
1,"Finstad, Brad",Lake Township,431
1,"Finstad, Brad",Lanesboro City,724
1,"Finstad, Brad",Lansing Township,904
1,"Finstad, Brad",Larkin Township,182
1,"Finstad, Brad",La Salle City,79
1,"Finstad, Brad",Lemond Township,503
1,"Finstad, Brad",Leon Township,956
1,"Finstad, Brad",Leota Township,384
1,"Finstad, Brad",Le Ray Township,743
1,"Finstad, Brad",Le Roy City,957
1,"Finstad, Brad",Le Roy Township,342
1,"Finstad, Brad",Lewiston City,1533
1,"Finstad, Brad",Lewisville City,204
1,"Finstad, Brad",Lime Township,955
1,"Finstad, Brad",Lincoln Township,205
1,"Finstad, Brad",Linden Township,291
1,"Finstad, Brad",Lismore City,194
1,"Finstad, Brad",Lismore Township,188
1,"Finstad, Brad",Little Rock Township,206
1,"Finstad, Brad",Lodi Township,235
1,"Finstad, Brad",London Township,291
1,"Finstad, Brad",Long Lake Township,339
1,"Finstad, Brad",Lorain Township,301
1,"Finstad, Brad",Lura Township,158
1,"Finstad, Brad",Luverne City,4946
1,"Finstad, Brad",Luverne Township,468
1,"Finstad, Brad",Lyle City,522
1,"Finstad, Brad",Lyle Township,369
1,"Finstad, Brad",Lyra Township,304
1,"Finstad, Brad",Mabel City,716
1,"Finstad, Brad",Madelia City,2396
1,"Finstad, Brad",Madelia Township,305
1,"Finstad, Brad",Madison Lake City,1258
1,"Finstad, Brad",Magnolia City,196
1,"Finstad, Brad",Magnolia Township,222
1,"Finstad, Brad",Manchester City,52
1,"Finstad, Brad",Manchester Township,423
1,"Finstad, Brad",Mankato City,44495
1,"Finstad, Brad",Mankato City,0
1,"Finstad, Brad",Mankato Township,1798
1,"Finstad, Brad",Mansfield Township,225
1,"Finstad, Brad",Mantorville City,1111
1,"Finstad, Brad",Mantorville Township,1874
1,"Finstad, Brad",Manyaska Township,308
1,"Finstad, Brad",Mapleton City,1710
1,"Finstad, Brad",Mapleton Township,285
1,"Finstad, Brad",Mapleview City,144
1,"Finstad, Brad",Marion Township,4043
1,"Finstad, Brad",Marshall Township,315
1,"Finstad, Brad",Martin Township,382
1,"Finstad, Brad",Mayville Township,366
1,"Finstad, Brad",Mazeppa City,874
1,"Finstad, Brad",Mazeppa Township,646
1,"Finstad, Brad",McPherson Township,424
1,"Finstad, Brad",Medford City,1315
1,"Finstad, Brad",Medford Township,843
1,"Finstad, Brad",Medo Township,321
1,"Finstad, Brad",Meriden Township,620
1,"Finstad, Brad",Merton Township,361
1,"Finstad, Brad",Middletown Township,215
1,"Finstad, Brad",Milford Township,691
1,"Finstad, Brad",Millville City,151
1,"Finstad, Brad",Milton Township,743
1,"Finstad, Brad",Minneiska City,51
1,"Finstad, Brad",Minneiska City,46
1,"Finstad, Brad",Minneiska Township,182
1,"Finstad, Brad",Minneola Township,627
1,"Finstad, Brad",Minneota Township,223
1,"Finstad, Brad",Minnesota City City,202
1,"Finstad, Brad",Minnesota Lake City,5
1,"Finstad, Brad",Minnesota Lake City,656
1,"Finstad, Brad",Minnesota Lake Township,170
1,"Finstad, Brad",Money Creek Township,578
1,"Finstad, Brad",Moscow Township,538
1,"Finstad, Brad",Mound Prairie Township,570
1,"Finstad, Brad",Mound Township,235
1,"Finstad, Brad",Mount Pleasant Township,447
1,"Finstad, Brad",Mount Vernon Township,276
1,"Finstad, Brad",Myrtle City,47
1,"Finstad, Brad",Nashville Township,205
1,"Finstad, Brad",Nelson Township,237
1,"Finstad, Brad",Nerstrand City,273
1,"Finstad, Brad",Nevada Township,342
1,"Finstad, Brad",Newburg Township,437
1,"Finstad, Brad",New Hartford Township,811
1,"Finstad, Brad",New Haven Township,1254
1,"Finstad, Brad",New Richland City,1229
1,"Finstad, Brad",New Richland Township,426
1,"Finstad, Brad",Newry Township,466
1,"Finstad, Brad",New Sweden Township,279
1,"Finstad, Brad",New Ulm City,14120
1,"Finstad, Brad",Nicollet City,1143
1,"Finstad, Brad",Northfield Township,224
1,"Finstad, Brad",North Mankato City,14178
1,"Finstad, Brad",Northrop City,214
1,"Finstad, Brad",Norton Township,523
1,"Finstad, Brad",Norway Township,370
1,"Finstad, Brad",Nunda Township,309
1,"Finstad, Brad",Oakland Township,357
1,"Finstad, Brad",Oakwood Township,382
1,"Finstad, Brad",Odin City,123
1,"Finstad, Brad",Odin Township,165
1,"Finstad, Brad",Okabena City,203
1,"Finstad, Brad",Olney Township,160
1,"Finstad, Brad",Orion Township,545
1,"Finstad, Brad",Ormsby City,47
1,"Finstad, Brad",Ormsby City,71
1,"Finstad, Brad",Oronoco City,1805
1,"Finstad, Brad",Oronoco Township,2455
1,"Finstad, Brad",Oshawa Township,656
1,"Finstad, Brad",Ostrander City,174
1,"Finstad, Brad",Otisco Township,544
1,"Finstad, Brad",Owatonna City,26421
1,"Finstad, Brad",Owatonna Township,612
1,"Finstad, Brad",Pemberton City,229
1,"Finstad, Brad",Pepin Township,366
1,"Finstad, Brad",Petersburg Township,220
1,"Finstad, Brad",Peterson City,234
1,"Finstad, Brad",Pickerel Lake Township,643
1,"Finstad, Brad",Pilot Grove Township,143
1,"Finstad, Brad",Pilot Mound Township,368
1,"Finstad, Brad",Pine Island City,2884
1,"Finstad, Brad",Pine Island City,890
1,"Finstad, Brad",Pine Island Township,577
1,"Finstad, Brad",Plainview City,3483
1,"Finstad, Brad",Plainview Township,456
1,"Finstad, Brad",Pleasant Grove Township,751
1,"Finstad, Brad",Pleasant Hill Township,533
1,"Finstad, Brad",Pleasant Mound Township,195
1,"Finstad, Brad",Pleasant Prairie Township,228
1,"Finstad, Brad",Pleasant Valley Township,288
1,"Finstad, Brad",Prairieville Township,132
1,"Finstad, Brad",Preble Township,208
1,"Finstad, Brad",Prescott Township,185
1,"Finstad, Brad",Preston City,1322
1,"Finstad, Brad",Preston Township,370
1,"Finstad, Brad",Quincy Township,327
1,"Finstad, Brad",Racine City,458
1,"Finstad, Brad",Racine Township,472
1,"Finstad, Brad",Ransom Township,203
1,"Finstad, Brad",Rapidan Township,1051
1,"Finstad, Brad",Red Rock Township,718
1,"Finstad, Brad",Red Wing City,16547
1,"Finstad, Brad",Riceland Township,428
1,"Finstad, Brad",Richland Township,376
1,"Finstad, Brad",Richmond Township,636
1,"Finstad, Brad",Ridgely Township,108
1,"Finstad, Brad",Ripley Township,179
1,"Finstad, Brad",Riverdale Township,283
1,"Finstad, Brad",Rochester City,121382
1,"Finstad, Brad",Rochester Township,2088
1,"Finstad, Brad",Rock Dell Township,681
1,"Finstad, Brad",Rolling Green Township,250
1,"Finstad, Brad",Rollingstone City,678
1,"Finstad, Brad",Rollingstone Township,770
1,"Finstad, Brad",Rome Township,122
1,"Finstad, Brad",Roscoe Township,744
1,"Finstad, Brad",Rose Creek City,397
1,"Finstad, Brad",Rose Dell Township,154
1,"Finstad, Brad",Rosendale Township,273
1,"Finstad, Brad",Rost Township,206
1,"Finstad, Brad",Round Lake City,382
1,"Finstad, Brad",Round Lake Township,144
1,"Finstad, Brad",Rushford City,1860
1,"Finstad, Brad",Rushford Village City,790
1,"Finstad, Brad",Rushmore City,365
1,"Finstad, Brad",Rutland Township,375
1,"Finstad, Brad",Saint Charles City,3990
1,"Finstad, Brad",Saint Charles Township,651
1,"Finstad, Brad",Saint Clair City,750
1,"Finstad, Brad",Saint James City,4788
1,"Finstad, Brad",Saint James Township,253
1,"Finstad, Brad",Saint Mary Township,395
1,"Finstad, Brad",Saint Peter City,12004
1,"Finstad, Brad",Salem Township,1094
1,"Finstad, Brad",Saratoga Township,618
1,"Finstad, Brad",Sargeant City,63
1,"Finstad, Brad",Sargeant Township,291
1,"Finstad, Brad",Seely Township,164
1,"Finstad, Brad",Seward Township,205
1,"Finstad, Brad",Shelby Township,266
1,"Finstad, Brad",Sheldon Township,300
1,"Finstad, Brad",Shell Rock Township,389
1,"Finstad, Brad",Sherburn City,1058
1,"Finstad, Brad",Sigel Township,348
1,"Finstad, Brad",Silver Lake Township,457
1,"Finstad, Brad",Sioux Valley Township,198
1,"Finstad, Brad",Skyline City,288
1,"Finstad, Brad",Sleepy Eye City,3452
1,"Finstad, Brad",Somerset Township,733
1,"Finstad, Brad",South Bend Township,1581
1,"Finstad, Brad",South Branch Township,249
1,"Finstad, Brad",Spring Grove City,1256
1,"Finstad, Brad",Spring Grove Township,343
1,"Finstad, Brad",Spring Valley City,2447
1,"Finstad, Brad",Spring Valley Township,545
1,"Finstad, Brad",Springwater Township,267
1,"Finstad, Brad",Stanton Township,1140
1,"Finstad, Brad",Stark Township,301
1,"Finstad, Brad",Steen City,171
1,"Finstad, Brad",Sterling Township,244
1,"Finstad, Brad",Stewartville City,6598
1,"Finstad, Brad",Stockton City,809
1,"Finstad, Brad",Summit Lake Township,290
1,"Finstad, Brad",Summit Township,433
1,"Finstad, Brad",Sumner Township,482
1,"Finstad, Brad",Taopi City,61
1,"Finstad, Brad",Tenhassen Township,233
1,"Finstad, Brad",Traverse Township,301
1,"Finstad, Brad",Trimont City,705
1,"Finstad, Brad",Truman City,1092
1,"Finstad, Brad",Twin Lakes City,134
1,"Finstad, Brad",Udolpho Township,415
1,"Finstad, Brad",Union Township,324
1,"Finstad, Brad",Utica City,266
1,"Finstad, Brad",Utica Township,574
1,"Finstad, Brad",Vasa Township,867
1,"Finstad, Brad",Vernon Center City,328
1,"Finstad, Brad",Vernon Center Township,250
1,"Finstad, Brad",Vernon Township,665
1,"Finstad, Brad",Verona Township,323
1,"Finstad, Brad",Vienna Township,155
1,"Finstad, Brad",Viola Township,548
1,"Finstad, Brad",Vivian Township,229
1,"Finstad, Brad",Wabasha City,2559
1,"Finstad, Brad",Wacouta Township,377
1,"Finstad, Brad",Walcott Township,929
1,"Finstad, Brad",Waldorf City,201
1,"Finstad, Brad",Walnut Lake Township,205
1,"Finstad, Brad",Walters City,69
1,"Finstad, Brad",Waltham City,164
1,"Finstad, Brad",Waltham Township,358
1,"Finstad, Brad",Wanamingo City,1113
1,"Finstad, Brad",Wanamingo Township,395
1,"Finstad, Brad",Warren Township,586
1,"Finstad, Brad",Warsaw Township,598
1,"Finstad, Brad",Warsaw Township,1276
